eXPerience,XPC,https://github.com/xpc-wg/xpchain/graphs/commit-activity,"1,007",+100 contributors
Komodo,KMD,https://github.com/jl777/SuperNET/graphs/commit-activity,"1,000",41 contributors
Ulord,UT,https://github.com/UlordChain/UlordChain/graphs/commit-activity,993,13 contributors
Bitcoin,BCH,https://github.com/Bitcoin-ABC/bitcoin-abc/graphs/commit-activity,984,+100 contributors
Nano,NANO,https://github.com/nanocurrency/nano-node/graphs/commit-activity,972,53 contributors
Feathercoin,FTC,https://github.com/FeatherCoin/Feathercoin/graphs/commit-activity,951,+100 contributors
Absolute,ABS,https://github.com/absolute-community/absolute/graphs/commit-activity,950,+100 contributors
POA,POA,/graphs/commit-activity,944,13 contributors
BitShares,BTS,https://github.com/bitshares/bitshares-core/graphs/commit-activity,943,50 contributors
Factom,FCT,https://github.com/FactomProject/factomd/graphs/commit-activity,922,56 contributors
Kyber,KNC,https://github.com/kybernetwork/KyberWallet/graphs/commit-activity,908,14 contributors
AdShares,ADS,https://github.com/adshares/adserver/graphs/commit-activity,880,7 contributors
Universa,UTNP,https://github.com/UniversaBlockchain/universa/graphs/commit-activity,879,11 contributors
Bitcoin,BCD,https://github.com/eveybcd/BitcoinDiamond/graphs/commit-activity,878,+100 contributors
Ontology,ONT,https://github.com/ontio/ontology/graphs/commit-activity,834,49 contributors
DigiByte,DGB,https://github.com/digibyte/digibyte/graphs/commit-activity,829,+100 contributors
NavCoin,NAV,https://github.com/NAVCoin/navcoin-core/graphs/commit-activity,824,17 contributors
Rocket,RPL,https://github.com/rocket-pool/rocketpool/graphs/commit-activity,810,7 contributors
Litecoin,LTC,https://github.com/litecoin-project/litecoin/graphs/commit-activity,807,+100 contributors
FujiCoin,FJC,https://github.com/fujicoin/fujicoin/graphs/commit-activity,802,+100 contributors
Ether,ETZ,/graphs/commit-activity,798,+100 contributors
Olympus,MOT,https://github.com/Olympus-Labs/Hora/graphs/commit-activity,795,8 contributors
TurtleCoin,TRTL,https://github.com/turtlecoin/turtlecoin/graphs/commit-activity,792,50 contributors
Sentinel,SENT,https://github.com/sentinel-official/sentinel/graphs/commit-activity,791,15 contributors
VeThor,VTHO,https://github.com/vechain/thor/graphs/commit-activity,777,12 contributors
CoinFi,COFI,/graphs/commit-activity,772,12 contributors
Monero,XMC,/graphs/commit-activity,763,+100 contributors
Genaro,GNX,https://github.com/GenaroNetwork/GenaroCore/graphs/commit-activity,758,15 contributors
Bytom,BTM,https://github.com/Bytom/bytom/graphs/commit-activity,747,27 contributors
