address,smart_contract_type,balance,address_annotation
0xa14703b1da572e3ddf4803113eb32159209199db,Smart Contract,600.0,Parity Bug
0x26967201d4d1e1aa97554838defa4fc4d010ff6f,Multisig,590.7127139193102,Indorse_MultiSig2
0x690858a9ab0d9afa707f1438fc175cca6be1a1db,Smart Contract,586.3085601586057,EbcFund
0x0c7cb177b3ccce17f4b955ad7b7b4482cd3b5b1f,Multisig,584.0685325759999,MultiSigWallet
0x4e4e23ac3c11789e23169025503ea4373b01417b,Wallet,581.7379475989893,"KuveraPool, Mining"
0x3911f139e6584f2e0b9adfd7f5b22ffee12bce90,Multisig,581.4003083,MultiSigWalletWithDailyLimit
0x1cabc34618ecf2949f0405a86353e7705e01c38b,Smart Contract,565.93899,LoanManager
0xc14921be9b6706aa2156f51e89e74f6dcfab3bb8,Multisig,565.7100000000003,MultiSigWalletWithDailyLimit
0x382cdf373e45f552ee2d058839883a2c8a931929,Wallet,561.4,Fake_Phishing828
0xa5d1e58ece1fc438d64e65769d2ab730143a4caf,Token,555.2519889024322,RobomedIco
0x4d10962c827881b7d40d338b3f898f4b18475320,Smart Contract,544.1009271299023,RefundEscrow
0x53b04999c1ff2d77fcdde98935bb936a67209e4c,Token,540.6123317189779,VeilEther
0x3504885517a7046af0bf08f3816e1cb3179cced6,Multisig,534.9999999999982,MultiSigWallet
