address,smart_contract_type,balance,address_annotation
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,DEX,24964.842426244762,"Dex, EtherDelta_2, EtherDelta"
0x00c7122633a4ef0bc72f7d02456ee2b11e97561e,Multisig,24326.60999266521,Raiden_MultiSig
0x1522900b6dafac587d499a862861c0869be6e428,Multisig,24247.312756905536,"Bitstamp, Exchange Wallet"
0x1f973b233f5ebb1e5d7cfe51b9ae4a32415a3a08,Wallet,24138.47367503686,"CEX.IO, Exchange Wallet"
0x9d217bcbd0bfae4d7f8f12c7702108d162e3ab79,Multisig,24075.401189931745,"ICO Wallets, Bloom_MultiSig"
0x43ab622752d766d694c005acfb78b1fc60f35b69,Smart Contract,21704.325572809987,Parity Bug
0xc39e562defc6ddd1f44ee698cf9303092b86051d,Multisig,21448.05712024742,"MultiSigWallet, ICO Wallets, Bancor_MultiSig5"
0xb3775fb83f7d12a36e0475abdd1fca35c091efbe,Token,20888.648679435883,"PowH3D, Hourglass, Fomo3D, Gambling, https://powh.io/"
0xa9c7d31bb1879bff8be25ead2f59b310a52b7c5a,Wallet,20164.6716684893,"Cobo, Wallet App"
0x9c5254d935cf85bb7bebdd8558d3b11cd27a387d,Multisig,20000.04783443918,MultiSigWalletWithDailyLimit
0x3061cfbae69bff0f933353cea20de6c89ab16acc,Multisig,19872.625162881068,"FOAM_MultiSig, MultiSigWalletWithDailyLimit"
0x23c2c34f38ce66ccc10e71e9bb2a06532d52c5e9,Multisig,19797.961952575388,MultiSigWalletWithDailyLimit
0xd20e4d854c71de2428e1268167753e4c7070ae68,Multisig,19719.042378471007,"District0x_MultiSig, MultiSigWalletWithDailyLimit"
0x68c4b7d05fae45bcb6192bb93e246c77e98360e1,Smart Contract,17168.40369424669,"Metronome_Proceeds, Proceeds"
0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,Wallet,16864.949435249044,"FCoin, Exchange Wallet"
0xd551234ae421e3bcba99a0da6d736074f22192ff,Wallet,16180.496519410313,"Exchange, Binance, Binance_2, Exchange Wallet"
0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Multisig,16129.984123629998,MultiSigWallet
0x94133870506af5d0644f41a2ee62cc387b81135e,Multisig,16034.3014502526,MultiSigWalletWithDailyLimit
0x15c19e6c203e2c34d1edfb26626bfc4f65ef96f0,Wallet,15000.01814691492,"ICO Wallets, Aeternity_Wallet"
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Wallet,14915.229784454896,"Exchange, Bitfinex_4, Exchange Wallet, Fiat Gateway"
0x91bd62e48282ea188998d04570ed8a3e237d3a6a,Multisig,14106.404108586477,MultiSigWallet
0xaa0ae3459f9f3472d1237015cafc1aafc6f03c63,Multisig,13977.936790066997,MultiSigWalletWithDailyLimit
0x035a401972f228b58dcae76bf318b54ed036d680,Multisig,13975.707291754758,"ICO Wallets, Aventus_MultiSig, MultiSigWallet"
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Wallet,13941.62169994414,"Exchange, Binance, Binance_4, Exchange Wallet"
0x342a6b08baffedd937bcf996f334be5cc3b3a8ed,Multisig,13843.995937372436,MultiSigWallet
0x2b5634c42055806a59e9107ed44d43c426e58258,Wallet,13713.429769260783,"Kucoin, Exchange Wallet"
0x8ee7d9235e01e6b42345120b5d270bdb763624c7,Multisig,13057.41647928551,MultiSigWalletWithDailyLimit
0x24c3235558572cff8054b5a419251d3b0d43e91b,Multisig,12881.757899212505,"Etheroll, Etheroll_MultiSig1"
0x564286362092d8e7936f0549571a803b203aaced,Wallet,12841.077052029656,"Exchange, Binance, Binance_3, Exchange Wallet"
0x95b2eb812ce96cabc6dfd94bfcdae5192e027763,Wallet,12689.204560504417,CPChain_Wallet
0x000000000000000000000000000000000000dead,Wallet,12404.11628341181,"ENS-BurnAddress, ENS"
0xc0829421c1d260bd3cb3e0f06cfe2d52db2ce315,Token,11727.432019859849,"EtherToken, -, Bancor, BancorEtherToken_2"
0xb59a226a2b8a2f2b0512baa35cc348b6b213b671,Token,11721.349447473169,EtherToken
0x65e170e0cfcb1484c9c44905fa0a9209cfe889f7,Multisig,11622.852592049,MultiSigWalletWithDailyLimit
0x240575a32c0b7053ffff01ca7276038c0e28bc01,Multisig,11519.99,MultiSigWalletWithDailyLimit
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,Wallet,11384.214179159111,"Nanopool, Mining"
0xdf9191889649c442836ef55de5036a7b694115b6,Wallet,11371.132550986655,Fake_Phishing1431
